School,Type,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,W,L,Seed,Finish
Purdue,Team,18,3650,482,1031,0.468,326,641,0.509,156,390,0.4,278,341,0.815,160,495,655,302,90,45,227,289,1398,77.7,14,4,1,8
Purdue,Opponent,18,3650,472,1106,0.427,359,757,0.474,113,349,0.324,195,277,0.704,166,409,575,243,119,67,197,339,1252,69.6,,,,
Wisconsin,Team,18,3675,444,1042,0.426,325,693,0.469,119,349,0.341,223,360,0.619,223,418,641,213,128,67,191,303,1230,68.3,12,6,2,2
Wisconsin,Opponent,18,3675,402,966,0.416,276,654,0.422,126,312,0.404,208,278,0.748,177,446,623,204,101,70,241,342,1138,63.2,,,,
Maryland,Team,18,3600,467,1019,0.458,313,614,0.51,154,405,0.38,230,338,0.68,184,453,637,274,97,83,219,331,1318,73.2,12,6,3,8
Maryland,Opponent,18,3600,445,1067,0.417,324,717,0.452,121,350,0.346,239,352,0.679,229,422,651,208,109,78,207,324,1250,69.4,,,,
Minnesota,Team,18,3750,473,1106,0.428,364,788,0.462,109,318,0.343,287,403,0.712,204,512,716,260,100,137,204,302,1342,74.6,11,7,4,4
Minnesota,Opponent,18,3750,481,1163,0.414,362,798,0.454,119,365,0.326,216,326,0.663,227,492,719,272,103,73,217,347,1297,72.1,,,,
Michigan,Team,18,3650,475,977,0.486,305,543,0.562,170,434,0.392,224,299,0.749,130,377,507,239,107,53,169,290,1344,74.7,10,8,8,1
Michigan,Opponent,18,3650,468,971,0.482,362,691,0.524,106,280,0.379,204,289,0.706,172,409,581,214,82,45,229,309,1246,69.2,,,,
Northwestern,Team,18,3600,437,1045,0.418,326,686,0.475,111,359,0.309,230,308,0.747,187,445,632,243,92,73,178,350,1215,67.5,10,8,6,4
Northwestern,Opponent,18,3600,414,1002,0.413,304,669,0.454,110,333,0.33,247,368,0.671,203,459,662,229,96,65,202,295,1185,65.8,,,,
Michigan State,Team,18,3625,465,989,0.47,329,638,0.516,136,351,0.387,221,317,0.697,157,473,630,286,85,77,250,371,1287,71.5,10,8,5,8
Michigan State,Opponent,18,3625,432,1017,0.425,313,675,0.464,119,342,0.348,268,380,0.705,172,413,585,233,99,48,195,326,1251,69.5,,,,
Iowa,Team,18,3750,488,1123,0.435,344,738,0.466,144,385,0.374,266,374,0.711,227,444,671,305,142,65,248,312,1386,77,10,8,7,12
Iowa,Opponent,18,3750,527,1150,0.458,372,708,0.525,155,442,0.351,193,285,0.677,228,466,694,340,142,75,265,347,1402,77.9,,,,
Illinois,Team,18,3600,438,1027,0.426,312,664,0.47,126,363,0.347,202,299,0.676,176,423,599,235,102,35,201,327,1204,66.9,8,10,9,12
Illinois,Opponent,18,3600,450,1001,0.45,328,653,0.502,122,348,0.351,225,308,0.731,162,445,607,212,84,53,218,322,1247,69.3,,,,
Ohio State,Team,18,3600,452,1007,0.449,326,678,0.481,126,329,0.383,267,376,0.71,182,459,641,217,88,61,228,335,1297,72.1,7,11,11,14
Ohio State,Opponent,18,3600,473,1062,0.445,306,628,0.487,167,434,0.385,233,350,0.666,195,438,633,256,91,67,197,340,1346,74.8,,,,
Indiana,Team,18,3700,489,1058,0.462,341,656,0.52,148,402,0.368,239,324,0.738,210,434,644,230,109,69,269,395,1365,75.8,7,11,10,8
Indiana,Opponent,18,3700,467,1028,0.454,338,681,0.496,129,347,0.372,341,469,0.727,194,404,598,218,114,83,198,335,1404,78,,,,
Penn State,Team,18,3700,443,1067,0.415,322,698,0.461,121,369,0.328,255,362,0.704,174,433,607,230,123,92,230,329,1262,70.1,6,12,13,12
Penn State,Opponent,18,3700,476,1061,0.449,342,690,0.496,134,371,0.361,249,359,0.694,192,494,686,255,120,71,261,330,1335,74.2,,,,
Nebraska,Team,18,3675,467,1105,0.423,361,791,0.456,106,314,0.338,231,336,0.688,238,436,674,210,130,60,238,339,1271,70.6,6,12,12,14
Nebraska,Opponent,18,3675,485,1057,0.459,330,692,0.477,155,365,0.425,251,348,0.721,191,460,651,251,121,89,238,327,1376,76.4,,,,
Rutgers,Team,18,3625,419,1082,0.387,345,829,0.416,74,253,0.292,170,298,0.57,259,423,682,160,118,70,241,324,1082,60.1,3,15,14,12
Rutgers,Opponent,18,3625,447,1027,0.435,323,644,0.502,124,383,0.324,254,346,0.734,203,468,671,269,130,103,228,314,1272,70.7,,,,
